Date,City,Impact
05-11-2013,Albuquerque,moderate rain
05-11-2013,Denver,light snow
05-11-2013,San Antonio,few clouds
05-11-2013,Dallas,heavy intensity rain
05-11-2013,Houston,light rain
05-11-2013,Kansas City,light rain
05-11-2013,Minneapolis,moderate rain
05-11-2013,Saint Louis,light rain
05-11-2013,Chicago,overcast clouds
05-11-2013,Nashville,overcast clouds
05-11-2013,Indianapolis,overcast clouds
05-11-2013,Atlanta,broken clouds
05-11-2013,Detroit,few clouds
05-11-2013,Jacksonville,moderate rain
05-11-2013,Charlotte,broken clouds
05-11-2013,Miami,light rain
05-11-2013,Pittsburgh,overcast clouds
05-11-2013,Toronto,scattered clouds
05-11-2013,Philadelphia,broken clouds
05-11-2013,New York,few clouds
05-11-2013,Montreal,broken clouds
05-11-2013,Boston,scattered clouds
05-11-2013,Beersheba,sky is clear
05-11-2013,Tel Aviv District,sky is clear
05-11-2013,Eilat,sky is clear
05-11-2013,Haifa,sky is clear
05-11-2013,Nahariyya,sky is clear
05-11-2013,Jerusalem,sky is clear
06-11-2013,Vancouver,sky is clear
06-11-2013,Portland,light rain
06-11-2013,San Francisco,sky is clear
06-11-2013,Seattle,sky is clear
06-11-2013,Los Angeles,sky is clear
06-11-2013,San Diego,scattered clouds
06-11-2013,Las Vegas,sky is clear
06-11-2013,Phoenix,sky is clear
06-11-2013,Albuquerque,sky is clear
06-11-2013,Denver,scattered clouds
06-11-2013,San Antonio,moderate rain
06-11-2013,Dallas,light rain
06-11-2013,Houston,mist
06-11-2013,Kansas City,light rain
06-11-2013,Minneapolis,light rain
06-11-2013,Saint Louis,moderate rain
06-11-2013,Chicago,light rain
06-11-2013,Nashville,sky is clear
06-11-2013,Indianapolis,light rain
06-11-2013,Atlanta,mist
06-11-2013,Detroit,moderate rain
06-11-2013,Jacksonville,moderate rain
06-11-2013,Charlotte,sky is clear
06-11-2013,Miami,light rain
06-11-2013,Pittsburgh,scattered clouds
06-11-2013,Toronto,broken clouds
06-11-2013,Philadelphia,sky is clear
06-11-2013,New York,sky is clear
06-11-2013,Montreal,light rain
06-11-2013,Boston,scattered clouds
06-11-2013,Beersheba,sky is clear
06-11-2013,Tel Aviv District,sky is clear
06-11-2013,Eilat,sky is clear
06-11-2013,Haifa,sky is clear
06-11-2013,Nahariyya,sky is clear
06-11-2013,Jerusalem,sky is clear
07-11-2013,Vancouver,moderate rain
07-11-2013,Portland,mist
07-11-2013,San Francisco,moderate rain
07-11-2013,Seattle,mist
07-11-2013,Los Angeles,sky is clear
07-11-2013,San Diego,broken clouds
07-11-2013,Las Vegas,haze
07-11-2013,Phoenix,sky is clear
07-11-2013,Albuquerque,sky is clear
07-11-2013,Denver,scattered clouds
07-11-2013,San Antonio,sky is clear
07-11-2013,Dallas,sky is clear
07-11-2013,Houston,sky is clear
07-11-2013,Kansas City,few clouds
07-11-2013,Minneapolis,mist
07-11-2013,Saint Louis,sky is clear
07-11-2013,Chicago,broken clouds
07-11-2013,Nashville,sky is clear
07-11-2013,Indianapolis,few clouds
07-11-2013,Atlanta,sky is clear
07-11-2013,Detroit,overcast clouds
07-11-2013,Jacksonville,overcast clouds
07-11-2013,Charlotte,sky is clear
07-11-2013,Miami,light rain
07-11-2013,Pittsburgh,sky is clear
07-11-2013,Toronto,scattered clouds
07-11-2013,Philadelphia,sky is clear
07-11-2013,New York,sky is clear
07-11-2013,Montreal,light rain
07-11-2013,Boston,moderate rain
07-11-2013,Beersheba,sky is clear
07-11-2013,Tel Aviv District,sky is clear
07-11-2013,Eilat,sky is clear
07-11-2013,Haifa,sky is clear
07-11-2013,Nahariyya,sky is clear
07-11-2013,Jerusalem,sky is clear
08-11-2013,Vancouver,sky is clear
08-11-2013,Portland,sky is clear
08-11-2013,San Francisco,mist
08-11-2013,Seattle,sky is clear
08-11-2013,Los Angeles,sky is clear
08-11-2013,San Diego,broken clouds
08-11-2013,Las Vegas,sky is clear
08-11-2013,Phoenix,sky is clear
08-11-2013,Albuquerque,sky is clear
08-11-2013,Denver,scattered clouds
08-11-2013,San Antonio,sky is clear
08-11-2013,Dallas,sky is clear
08-11-2013,Houston,sky is clear
08-11-2013,Kansas City,few clouds
08-11-2013,Minneapolis,mist
08-11-2013,Saint Louis,sky is clear
08-11-2013,Chicago,broken clouds
08-11-2013,Nashville,sky is clear
08-11-2013,Indianapolis,few clouds
08-11-2013,Atlanta,sky is clear
08-11-2013,Detroit,overcast clouds
08-11-2013,Jacksonville,overcast clouds
08-11-2013,Charlotte,sky is clear
08-11-2013,Miami,light rain
08-11-2013,Pittsburgh,sky is clear
08-11-2013,Toronto,scattered clouds
08-11-2013,Philadelphia,sky is clear
08-11-2013,New York,sky is clear
08-11-2013,Montreal,light rain
08-11-2013,Boston,sky is clear
08-11-2013,Beersheba,sky is clear
08-11-2013,Tel Aviv District,sky is clear
08-11-2013,Eilat,sky is clear
08-11-2013,Haifa,sky is clear
08-11-2013,Nahariyya,sky is clear
08-11-2013,Jerusalem,sky is clear
09-11-2013,Vancouver,sky is clear
09-11-2013,Portland,mist
09-11-2013,San Francisco,sky is clear
09-11-2013,Seattle,sky is clear
09-11-2013,Los Angeles,sky is clear
09-11-2013,San Diego,fog
09-11-2013,Las Vegas,sky is clear
09-11-2013,Phoenix,sky is clear
09-11-2013,Albuquerque,sky is clear
09-11-2013,Denver,scattered clouds
09-11-2013,San Antonio,sky is clear
09-11-2013,Dallas,sky is clear
09-11-2013,Houston,sky is clear
09-11-2013,Kansas City,few clouds
09-11-2013,Minneapolis,broken clouds
09-11-2013,Saint Louis,sky is clear
09-11-2013,Chicago,broken clouds
09-11-2013,Nashville,sky is clear
09-11-2013,Indianapolis,few clouds
09-11-2013,Atlanta,sky is clear
09-11-2013,Detroit,overcast clouds
09-11-2013,Jacksonville,overcast clouds
09-11-2013,Charlotte,sky is clear
09-11-2013,Miami,light rain
09-11-2013,Pittsburgh,sky is clear
09-11-2013,Toronto,scattered clouds
09-11-2013,Philadelphia,sky is clear
09-11-2013,New York,sky is clear
09-11-2013,Montreal,light rain
09-11-2013,Boston,sky is clear
09-11-2013,Beersheba,sky is clear
09-11-2013,Tel Aviv District,sky is clear
09-11-2013,Eilat,sky is clear
09-11-2013,Haifa,sky is clear
09-11-2013,Nahariyya,sky is clear
09-11-2013,Jerusalem,sky is clear
10-11-2013,Vancouver,sky is clear
10-11-2013,Portland,sky is clear
10-11-2013,San Francisco,mist
10-11-2013,Seattle,mist
10-11-2013,Los Angeles,sky is clear
10-11-2013,San Diego,broken clouds
10-11-2013,Las Vegas,sky is clear
10-11-2013,Phoenix,sky is clear
10-11-2013,Albuquerque,sky is clear
10-11-2013,Denver,scattered clouds
10-11-2013,San Antonio,sky is clear
10-11-2013,Dallas,sky is clear
10-11-2013,Houston,sky is clear
10-11-2013,Kansas City,few clouds
10-11-2013,Minneapolis,broken clouds
10-11-2013,Saint Louis,sky is clear
10-11-2013,Chicago,broken clouds
10-11-2013,Nashville,sky is clear
10-11-2013,Indianapolis,few clouds
10-11-2013,Atlanta,sky is clear
10-11-2013,Detroit,overcast clouds
10-11-2013,Jacksonville,mist
10-11-2013,Charlotte,sky is clear
10-11-2013,Miami,light rain
10-11-2013,Pittsburgh,sky is clear
10-11-2013,Toronto,scattered clouds
10-11-2013,Philadelphia,sky is clear
10-11-2013,New York,sky is clear
10-11-2013,Montreal,light snow
10-11-2013,Boston,sky is clear
10-11-2013,Beersheba,sky is clear
10-11-2013,Tel Aviv District,sky is clear
10-11-2013,Eilat,sky is clear
10-11-2013,Haifa,sky is clear
10-11-2013,Nahariyya,sky is clear
10-11-2013,Jerusalem,sky is clear
11-11-2013,Vancouver,sky is clear
11-11-2013,Portland,sky is clear
11-11-2013,San Francisco,sky is clear
11-11-2013,Seattle,sky is clear
11-11-2013,Los Angeles,sky is clear
11-11-2013,San Diego,broken clouds
11-11-2013,Las Vegas,sky is clear
11-11-2013,Phoenix,sky is clear
11-11-2013,Albuquerque,sky is clear
11-11-2013,Denver,scattered clouds
11-11-2013,San Antonio,sky is clear
11-11-2013,Dallas,sky is clear
11-11-2013,Houston,sky is clear
11-11-2013,Kansas City,few clouds
11-11-2013,Minneapolis,broken clouds
11-11-2013,Saint Louis,sky is clear
11-11-2013,Chicago,broken clouds
11-11-2013,Nashville,sky is clear
11-11-2013,Indianapolis,few clouds
11-11-2013,Atlanta,sky is clear
11-11-2013,Detroit,overcast clouds
11-11-2013,Jacksonville,overcast clouds
11-11-2013,Charlotte,sky is clear
11-11-2013,Miami,light rain
11-11-2013,Pittsburgh,sky is clear
11-11-2013,Toronto,scattered clouds
11-11-2013,Philadelphia,sky is clear
11-11-2013,New York,sky is clear
11-11-2013,Montreal,light rain
11-11-2013,Boston,sky is clear
11-11-2013,Beersheba,sky is clear
11-11-2013,Tel Aviv District,sky is clear
11-11-2013,Eilat,sky is clear
11-11-2013,Haifa,sky is clear
11-11-2013,Nahariyya,sky is clear
11-11-2013,Jerusalem,sky is clear
12-11-2013,Vancouver,sky is clear
12-11-2013,Portland,moderate rain
12-11-2013,San Francisco,sky is clear
12-11-2013,Seattle,sky is clear
12-11-2013,Los Angeles,sky is clear
12-11-2013,San Diego,broken clouds
12-11-2013,Las Vegas,sky is clear
12-11-2013,Phoenix,sky is clear
12-11-2013,Albuquerque,sky is clear
12-11-2013,Denver,scattered clouds
12-11-2013,San Antonio,sky is clear
12-11-2013,Dallas,sky is clear
12-11-2013,Houston,sky is clear
12-11-2013,Kansas City,few clouds
12-11-2013,Minneapolis,broken clouds
12-11-2013,Saint Louis,sky is clear
12-11-2013,Chicago,broken clouds
12-11-2013,Nashville,sky is clear
12-11-2013,Indianapolis,few clouds
12-11-2013,Atlanta,sky is clear
12-11-2013,Detroit,overcast clouds
12-11-2013,Jacksonville,mist
12-11-2013,Charlotte,sky is clear
12-11-2013,Miami,light rain
12-11-2013,Pittsburgh,scattered clouds
12-11-2013,Toronto,scattered clouds
12-11-2013,Philadelphia,sky is clear
12-11-2013,New York,sky is clear
12-11-2013,Montreal,light shower snow
12-11-2013,Boston,sky is clear
12-11-2013,Beersheba,sky is clear
12-11-2013,Tel Aviv District,sky is clear
12-11-2013,Eilat,sky is clear
12-11-2013,Haifa,sky is clear
12-11-2013,Nahariyya,sky is clear
12-11-2013,Jerusalem,sky is clear
13-11-2013,Vancouver,sky is clear
13-11-2013,Portland,sky is clear
13-11-2013,San Francisco,sky is clear
13-11-2013,Seattle,sky is clear
13-11-2013,Los Angeles,sky is clear
13-11-2013,San Diego,broken clouds
13-11-2013,Las Vegas,sky is clear
13-11-2013,Phoenix,sky is clear
13-11-2013,Albuquerque,sky is clear
13-11-2013,Denver,scattered clouds
13-11-2013,San Antonio,sky is clear
13-11-2013,Dallas,sky is clear
13-11-2013,Houston,sky is clear
13-11-2013,Kansas City,few clouds
13-11-2013,Minneapolis,broken clouds
13-11-2013,Saint Louis,sky is clear
13-11-2013,Chicago,broken clouds
13-11-2013,Nashville,sky is clear
13-11-2013,Indianapolis,few clouds
13-11-2013,Atlanta,sky is clear
13-11-2013,Detroit,overcast clouds
13-11-2013,Jacksonville,overcast clouds
13-11-2013,Charlotte,sky is clear
13-11-2013,Miami,light rain
13-11-2013,Pittsburgh,sky is clear
13-11-2013,Toronto,scattered clouds
13-11-2013,Philadelphia,sky is clear
13-11-2013,New York,sky is clear
13-11-2013,Montreal,light rain
13-11-2013,Boston,sky is clear
13-11-2013,Beersheba,sky is clear
13-11-2013,Tel Aviv District,sky is clear
13-11-2013,Eilat,sky is clear
13-11-2013,Haifa,sky is clear
13-11-2013,Nahariyya,sky is clear
13-11-2013,Jerusalem,sky is clear
14-11-2013,Vancouver,sky is clear
14-11-2013,Portland,mist
14-11-2013,San Francisco,mist
14-11-2013,Seattle,overcast clouds
14-11-2013,Los Angeles,sky is clear
14-11-2013,San Diego,scattered clouds
14-11-2013,Las Vegas,sky is clear
14-11-2013,Phoenix,sky is clear
14-11-2013,Albuquerque,sky is clear
14-11-2013,Denver,scattered clouds
14-11-2013,San Antonio,sky is clear
14-11-2013,Dallas,sky is clear
14-11-2013,Houston,sky is clear
14-11-2013,Kansas City,few clouds
14-11-2013,Minneapolis,broken clouds
14-11-2013,Saint Louis,sky is clear
14-11-2013,Chicago,broken clouds
14-11-2013,Nashville,sky is clear
14-11-2013,Indianapolis,few clouds
14-11-2013,Atlanta,sky is clear
14-11-2013,Detroit,overcast clouds
14-11-2013,Jacksonville,overcast clouds
14-11-2013,Charlotte,sky is clear
14-11-2013,Miami,light rain
14-11-2013,Pittsburgh,sky is clear
14-11-2013,Toronto,scattered clouds
14-11-2013,Philadelphia,sky is clear
14-11-2013,New York,sky is clear
14-11-2013,Montreal,light rain
14-11-2013,Boston,sky is clear
14-11-2013,Beersheba,sky is clear
14-11-2013,Tel Aviv District,sky is clear
14-11-2013,Eilat,sky is clear
14-11-2013,Haifa,sky is clear
14-11-2013,Nahariyya,sky is clear
14-11-2013,Jerusalem,sky is clear
15-11-2013,Vancouver,sky is clear
15-11-2013,Portland,mist
15-11-2013,San Francisco,mist
15-11-2013,Seattle,overcast clouds
15-11-2013,Los Angeles,sky is clear
15-11-2013,San Diego,fog
15-11-2013,Las Vegas,sky is clear
15-11-2013,Phoenix,sky is clear
15-11-2013,Albuquerque,sky is clear
15-11-2013,Denver,scattered clouds
15-11-2013,San Antonio,sky is clear
15-11-2013,Dallas,sky is clear
15-11-2013,Houston,sky is clear
15-11-2013,Kansas City,few clouds
15-11-2013,Minneapolis,broken clouds
15-11-2013,Saint Louis,sky is clear
15-11-2013,Chicago,broken clouds
15-11-2013,Nashville,sky is clear
15-11-2013,Indianapolis,few clouds
15-11-2013,Atlanta,sky is clear
15-11-2013,Detroit,overcast clouds
15-11-2013,Jacksonville,overcast clouds
15-11-2013,Charlotte,sky is clear
15-11-2013,Miami,light rain
15-11-2013,Pittsburgh,sky is clear
15-11-2013,Toronto,scattered clouds
15-11-2013,Philadelphia,sky is clear
15-11-2013,New York,sky is clear
15-11-2013,Montreal,light rain
15-11-2013,Boston,sky is clear
15-11-2013,Beersheba,sky is clear
15-11-2013,Tel Aviv District,scattered clouds
15-11-2013,Eilat,sky is clear
15-11-2013,Haifa,sky is clear
15-11-2013,Nahariyya,sky is clear
15-11-2013,Jerusalem,sky is clear
16-11-2013,Vancouver,mist
16-11-2013,Portland,light rain
16-11-2013,San Francisco,mist
16-11-2013,Seattle,sky is clear
16-11-2013,Los Angeles,sky is clear
16-11-2013,San Diego,broken clouds
16-11-2013,Las Vegas,sky is clear
16-11-2013,Phoenix,sky is clear
16-11-2013,Albuquerque,sky is clear
16-11-2013,Denver,scattered clouds
16-11-2013,San Antonio,sky is clear
16-11-2013,Dallas,sky is clear
16-11-2013,Houston,mist
16-11-2013,Kansas City,few clouds
16-11-2013,Minneapolis,mist
16-11-2013,Saint Louis,sky is clear
16-11-2013,Chicago,mist
16-11-2013,Nashville,mist
16-11-2013,Indianapolis,mist
16-11-2013,Atlanta,mist
16-11-2013,Detroit,overcast clouds
16-11-2013,Jacksonville,mist
16-11-2013,Charlotte,mist
16-11-2013,Miami,light rain
16-11-2013,Pittsburgh,sky is clear
16-11-2013,Toronto,scattered clouds
16-11-2013,Philadelphia,sky is clear
16-11-2013,New York,sky is clear
16-11-2013,Montreal,light rain
16-11-2013,Boston,sky is clear
16-11-2013,Beersheba,sky is clear
16-11-2013,Tel Aviv District,few clouds
16-11-2013,Eilat,sky is clear
16-11-2013,Haifa,sky is clear
16-11-2013,Nahariyya,sky is clear
16-11-2013,Jerusalem,sky is clear
17-11-2013,Vancouver,sky is clear
17-11-2013,Portland,overcast clouds
17-11-2013,San Francisco,moderate rain
17-11-2013,Seattle,sky is clear
17-11-2013,Los Angeles,sky is clear
17-11-2013,San Diego,broken clouds
17-11-2013,Las Vegas,sky is clear
17-11-2013,Phoenix,sky is clear
17-11-2013,Albuquerque,sky is clear
17-11-2013,Denver,scattered clouds
17-11-2013,San Antonio,sky is clear
17-11-2013,Dallas,sky is clear
17-11-2013,Houston,mist
17-11-2013,Kansas City,few clouds
17-11-2013,Minneapolis,mist
17-11-2013,Saint Louis,sky is clear
17-11-2013,Chicago,light rain
17-11-2013,Nashville,sky is clear
17-11-2013,Indianapolis,light rain
17-11-2013,Atlanta,moderate rain
17-11-2013,Detroit,overcast clouds
17-11-2013,Jacksonville,overcast clouds
17-11-2013,Charlotte,mist
17-11-2013,Miami,light rain
17-11-2013,Pittsburgh,sky is clear
17-11-2013,Toronto,scattered clouds
17-11-2013,Philadelphia,sky is clear
17-11-2013,New York,mist
17-11-2013,Montreal,light rain
17-11-2013,Boston,sky is clear
17-11-2013,Beersheba,sky is clear
17-11-2013,Tel Aviv District,scattered clouds
17-11-2013,Eilat,sky is clear
17-11-2013,Haifa,sky is clear
17-11-2013,Nahariyya,sky is clear
17-11-2013,Jerusalem,sky is clear
18-11-2013,Vancouver,overcast clouds
18-11-2013,Portland,sky is clear
18-11-2013,San Francisco,overcast clouds
18-11-2013,Seattle,mist
18-11-2013,Los Angeles,sky is clear
18-11-2013,San Diego,broken clouds
18-11-2013,Las Vegas,sky is clear
18-11-2013,Phoenix,sky is clear
18-11-2013,Albuquerque,sky is clear
18-11-2013,Denver,scattered clouds
18-11-2013,San Antonio,sky is clear
18-11-2013,Dallas,sky is clear
18-11-2013,Houston,mist
18-11-2013,Kansas City,few clouds
18-11-2013,Minneapolis,overcast clouds
18-11-2013,Saint Louis,sky is clear
18-11-2013,Chicago,broken clouds
18-11-2013,Nashville,sky is clear
18-11-2013,Indianapolis,sky is clear
18-11-2013,Atlanta,overcast clouds
18-11-2013,Detroit,overcast clouds
18-11-2013,Jacksonville,mist
18-11-2013,Charlotte,overcast clouds
18-11-2013,Miami,light rain
18-11-2013,Pittsburgh,mist
18-11-2013,Toronto,overcast clouds
18-11-2013,Philadelphia,scattered clouds
18-11-2013,New York,overcast clouds
18-11-2013,Montreal,light intensity shower rain
18-11-2013,Boston,mist
18-11-2013,Beersheba,sky is clear
18-11-2013,Tel Aviv District,scattered clouds
18-11-2013,Eilat,haze
18-11-2013,Haifa,sky is clear
18-11-2013,Nahariyya,sky is clear
18-11-2013,Jerusalem,sky is clear
19-11-2013,Vancouver,sky is clear
19-11-2013,Portland,sky is clear
19-11-2013,San Francisco,sky is clear
19-11-2013,Seattle,mist
19-11-2013,Los Angeles,sky is clear
19-11-2013,San Diego,broken clouds
19-11-2013,Las Vegas,sky is clear
19-11-2013,Phoenix,sky is clear
19-11-2013,Albuquerque,sky is clear
19-11-2013,Denver,scattered clouds
19-11-2013,San Antonio,sky is clear
19-11-2013,Dallas,sky is clear
19-11-2013,Houston,scattered clouds
19-11-2013,Kansas City,few clouds
19-11-2013,Minneapolis,broken clouds
19-11-2013,Saint Louis,sky is clear
19-11-2013,Chicago,broken clouds
19-11-2013,Nashville,sky is clear
19-11-2013,Indianapolis,sky is clear
19-11-2013,Atlanta,sky is clear
19-11-2013,Detroit,overcast clouds
19-11-2013,Jacksonville,overcast clouds
19-11-2013,Charlotte,sky is clear
19-11-2013,Miami,light rain
19-11-2013,Pittsburgh,overcast clouds
19-11-2013,Toronto,scattered clouds
19-11-2013,Philadelphia,scattered clouds
19-11-2013,New York,sky is clear
19-11-2013,Montreal,broken clouds
19-11-2013,Boston,sky is clear
19-11-2013,Beersheba,sky is clear
19-11-2013,Tel Aviv District,sky is clear
19-11-2013,Eilat,sky is clear
19-11-2013,Haifa,sky is clear
19-11-2013,Nahariyya,sky is clear
19-11-2013,Jerusalem,sky is clear
20-11-2013,Vancouver,sky is clear
20-11-2013,Portland,sky is clear
20-11-2013,San Francisco,mist
20-11-2013,Seattle,sky is clear
20-11-2013,Los Angeles,sky is clear
20-11-2013,San Diego,broken clouds
20-11-2013,Las Vegas,sky is clear
20-11-2013,Phoenix,sky is clear
20-11-2013,Albuquerque,sky is clear
20-11-2013,Denver,scattered clouds
20-11-2013,San Antonio,sky is clear
20-11-2013,Dallas,sky is clear
20-11-2013,Houston,overcast clouds
20-11-2013,Kansas City,moderate rain
20-11-2013,Minneapolis,overcast clouds
20-11-2013,Saint Louis,sky is clear
20-11-2013,Chicago,broken clouds
20-11-2013,Nashville,sky is clear
20-11-2013,Indianapolis,sky is clear
20-11-2013,Atlanta,sky is clear
20-11-2013,Detroit,overcast clouds
20-11-2013,Jacksonville,overcast clouds
20-11-2013,Charlotte,sky is clear
20-11-2013,Miami,light rain
20-11-2013,Pittsburgh,sky is clear
20-11-2013,Toronto,scattered clouds
20-11-2013,Philadelphia,sky is clear
20-11-2013,New York,sky is clear
20-11-2013,Montreal,light shower snow
20-11-2013,Boston,sky is clear
20-11-2013,Beersheba,sky is clear
20-11-2013,Tel Aviv District,scattered clouds
20-11-2013,Eilat,sky is clear
20-11-2013,Haifa,sky is clear
20-11-2013,Nahariyya,sky is clear
20-11-2013,Jerusalem,sky is clear
21-11-2013,Vancouver,mist
21-11-2013,Portland,sky is clear
21-11-2013,San Francisco,scattered clouds
21-11-2013,Seattle,sky is clear
21-11-2013,Los Angeles,mist
21-11-2013,San Diego,mist
21-11-2013,Las Vegas,overcast clouds
21-11-2013,Phoenix,sky is clear
21-11-2013,Albuquerque,scattered clouds
21-11-2013,Denver,mist
21-11-2013,San Antonio,sky is clear
21-11-2013,Dallas,overcast clouds
21-11-2013,Houston,mist
21-11-2013,Kansas City,light intensity shower rain
21-11-2013,Minneapolis,mist
21-11-2013,Saint Louis,mist
21-11-2013,Chicago,broken clouds
21-11-2013,Nashville,sky is clear
21-11-2013,Indianapolis,light rain
21-11-2013,Atlanta,overcast clouds
21-11-2013,Detroit,overcast clouds
21-11-2013,Jacksonville,mist
21-11-2013,Charlotte,overcast clouds
21-11-2013,Miami,light rain
21-11-2013,Pittsburgh,scattered clouds
21-11-2013,Toronto,scattered clouds
21-11-2013,Philadelphia,sky is clear
21-11-2013,New York,sky is clear
21-11-2013,Montreal,overcast clouds
21-11-2013,Boston,overcast clouds
21-11-2013,Beersheba,sky is clear
21-11-2013,Tel Aviv District,scattered clouds
21-11-2013,Eilat,sky is clear
21-11-2013,Haifa,sky is clear
21-11-2013,Nahariyya,sky is clear
21-11-2013,Jerusalem,sky is clear
22-11-2013,Vancouver,few clouds
22-11-2013,Portland,sky is clear
22-11-2013,San Francisco,sky is clear
22-11-2013,Seattle,sky is clear
22-11-2013,Los Angeles,sky is clear
22-11-2013,San Diego,light intensity drizzle
22-11-2013,Las Vegas,light rain
22-11-2013,Phoenix,mist
22-11-2013,Albuquerque,sky is clear
22-11-2013,Denver,scattered clouds
22-11-2013,San Antonio,sky is clear
22-11-2013,Dallas,mist
22-11-2013,Houston,mist
22-11-2013,Kansas City,light rain
22-11-2013,Minneapolis,sky is clear
22-11-2013,Saint Louis,overcast clouds
22-11-2013,Chicago,mist
22-11-2013,Nashville,overcast clouds
22-11-2013,Indianapolis,mist
22-11-2013,Atlanta,mist
22-11-2013,Detroit,mist
22-11-2013,Jacksonville,mist
22-11-2013,Charlotte,overcast clouds
22-11-2013,Miami,mist
22-11-2013,Pittsburgh,overcast clouds
22-11-2013,Toronto,mist
22-11-2013,Philadelphia,overcast clouds
22-11-2013,New York,sky is clear
22-11-2013,Montreal,mist
22-11-2013,Boston,mist
22-11-2013,Beersheba,sky is clear
22-11-2013,Tel Aviv District,sky is clear
22-11-2013,Eilat,sky is clear
22-11-2013,Haifa,sky is clear
22-11-2013,Nahariyya,sky is clear
22-11-2013,Jerusalem,sky is clear
23-11-2013,Vancouver,mist
23-11-2013,Portland,sky is clear
23-11-2013,San Francisco,sky is clear
23-11-2013,Seattle,sky is clear
23-11-2013,Los Angeles,sky is clear
23-11-2013,San Diego,overcast clouds
23-11-2013,Las Vegas,light rain
23-11-2013,Phoenix,mist
23-11-2013,Albuquerque,sky is clear
23-11-2013,Denver,scattered clouds
23-11-2013,San Antonio,sky is clear
23-11-2013,Dallas,mist
23-11-2013,Houston,mist
23-11-2013,Kansas City,broken clouds
23-11-2013,Minneapolis,sky is clear
23-11-2013,Saint Louis,sky is clear
23-11-2013,Chicago,broken clouds
23-11-2013,Nashville,overcast clouds
23-11-2013,Indianapolis,overcast clouds
23-11-2013,Atlanta,mist
23-11-2013,Detroit,overcast clouds
23-11-2013,Jacksonville,mist
23-11-2013,Charlotte,overcast clouds
23-11-2013,Miami,light rain
23-11-2013,Pittsburgh,mist
23-11-2013,Toronto,overcast clouds
23-11-2013,Philadelphia,sky is clear
23-11-2013,New York,sky is clear
23-11-2013,Montreal,light rain
23-11-2013,Boston,overcast clouds
23-11-2013,Beersheba,sky is clear
23-11-2013,Tel Aviv District,sky is clear
23-11-2013,Eilat,sky is clear
23-11-2013,Haifa,sky is clear
23-11-2013,Nahariyya,sky is clear
23-11-2013,Jerusalem,sky is clear
24-11-2013,Vancouver,fog
24-11-2013,Portland,sky is clear
24-11-2013,San Francisco,sky is clear
24-11-2013,Seattle,sky is clear
24-11-2013,Los Angeles,sky is clear
24-11-2013,San Diego,sky is clear
24-11-2013,Las Vegas,overcast clouds
24-11-2013,Phoenix,sky is clear
24-11-2013,Albuquerque,overcast clouds
24-11-2013,Denver,scattered clouds
24-11-2013,San Antonio,mist
24-11-2013,Dallas,sky is clear
24-11-2013,Houston,overcast clouds
24-11-2013,Kansas City,few clouds
24-11-2013,Minneapolis,sky is clear
24-11-2013,Saint Louis,sky is clear
24-11-2013,Chicago,broken clouds
24-11-2013,Nashville,sky is clear
24-11-2013,Indianapolis,scattered clouds
24-11-2013,Atlanta,sky is clear
24-11-2013,Detroit,overcast clouds
24-11-2013,Jacksonville,overcast clouds
24-11-2013,Charlotte,sky is clear
24-11-2013,Miami,light rain
24-11-2013,Pittsburgh,overcast clouds
24-11-2013,Toronto,scattered clouds
24-11-2013,Philadelphia,sky is clear
24-11-2013,New York,sky is clear
24-11-2013,Montreal,light shower snow
24-11-2013,Boston,sky is clear
24-11-2013,Beersheba,sky is clear
24-11-2013,Tel Aviv District,scattered clouds
24-11-2013,Eilat,sky is clear
24-11-2013,Haifa,sky is clear
24-11-2013,Nahariyya,sky is clear
24-11-2013,Jerusalem,sky is clear
25-11-2013,Vancouver,overcast clouds
25-11-2013,Portland,sky is clear
25-11-2013,San Francisco,sky is clear
25-11-2013,Seattle,sky is clear
25-11-2013,Los Angeles,sky is clear
25-11-2013,San Diego,sky is clear
25-11-2013,Las Vegas,sky is clear
25-11-2013,Phoenix,sky is clear
25-11-2013,Albuquerque,scattered clouds
25-11-2013,Denver,scattered clouds
25-11-2013,San Antonio,mist
25-11-2013,Dallas,moderate rain
25-11-2013,Houston,mist
25-11-2013,Kansas City,light intensity shower rain
25-11-2013,Minneapolis,scattered clouds
25-11-2013,Saint Louis,sky is clear
25-11-2013,Chicago,light snow
25-11-2013,Nashville,sky is clear
25-11-2013,Indianapolis,sky is clear
25-11-2013,Atlanta,sky is clear
25-11-2013,Detroit,overcast clouds
25-11-2013,Jacksonville,sky is clear
25-11-2013,Charlotte,sky is clear
25-11-2013,Miami,light rain
25-11-2013,Pittsburgh,sky is clear
25-11-2013,Toronto,scattered clouds
25-11-2013,Philadelphia,sky is clear
25-11-2013,New York,sky is clear
25-11-2013,Montreal,few clouds
25-11-2013,Boston,sky is clear
25-11-2013,Beersheba,sky is clear
25-11-2013,Tel Aviv District,sky is clear
25-11-2013,Eilat,sky is clear
25-11-2013,Haifa,sky is clear
25-11-2013,Nahariyya,sky is clear
25-11-2013,Jerusalem,sky is clear
26-11-2013,Vancouver,sky is clear
26-11-2013,Portland,sky is clear
26-11-2013,San Francisco,light rain
26-11-2013,Seattle,sky is clear
26-11-2013,Los Angeles,sky is clear
26-11-2013,San Diego,broken clouds
26-11-2013,Las Vegas,sky is clear
26-11-2013,Phoenix,sky is clear
